Trading Date,Interval Number,Trading Interval,Load Forecast (MW),Forecast As At,Scheduled Generation (MW),Non-Scheduled Generation (MW),Total Generation (MW),Final Price ($/MWh),Extracted At
1/1/2022,1,1/1/2022 8:00,1411.886,1/1/2022 7:22,880.608,404.8,1285.408,-50.57,1/5/2023 23:40
1/1/2022,2,1/1/2022 8:30,1310.751,1/1/2022 7:52,839.298,358.68,1197.978,-50.57,
1/1/2022,3,1/1/2022 9:00,1195.277,1/1/2022 8:22,802.295,344.399,1146.694,27.53,
1/1/2022,4,1/1/2022 9:30,1137.052,1/1/2022 8:52,685.715,381.039,1066.754,-50.57,
1/1/2022,5,1/1/2022 10:00,1108.414,1/1/2022 9:22,765.045,297.838,1062.883,30.93,
1/1/2022,6,1/1/2022 10:30,1113.187,1/1/2022 9:52,749.583,302.577,1052.16,-71.5,
1/1/2022,7,1/1/2022 11:00,1100.777,1/1/2022 10:22,794.381,269.193,1063.574,-71.5,
1/1/2022,8,1/1/2022 11:30,1133.233,1/1/2022 10:52,772.005,314.065,1086.07,27.49,
1/1/2022,9,1/1/2022 12:00,1166.643,1/1/2022 11:22,738.847,385.851,1124.698,-10.78,
1/1/2022,10,1/1/2022 12:30,1182.869,1/1/2022 11:52,731.819,410.591,1142.41,-50.57,
1/1/2022,11,1/1/2022 13:00,1201.958,1/1/2022 12:22,721.537,444.485,1166.022,-10.78,
1/1/2022,12,1/1/2022 13:30,1244.906,1/1/2022 12:52,776.092,447.1,1223.192,-71.5,
1/1/2022,13,1/1/2022 14:00,1315.522,1/1/2022 13:22,788.553,479.177,1267.73,-71.5,
1/1/2022,14,1/1/2022 14:30,1420.472,1/1/2022 13:52,918.813,477.42,1396.233,30.93,
1/1/2022,15,1/1/2022 15:00,1557.825,1/1/2022 14:22,885.404,644.509,1529.913,-10.78,
1/1/2022,16,1/1/2022 15:30,1707.53,1/1/2022 14:52,916.974,733.395,1650.369,-10.24,
1/1/2022,17,1/1/2022 16:00,1864.81,1/1/2022 15:22,1019.353,786.62,1805.973,26.35,
1/1/2022,18,1/1/2022 16:30,2014.414,1/1/2022 15:52,1183.273,795.643,1978.916,38.87,
1/1/2022,19,1/1/2022 17:00,2108.725,1/1/2022 16:22,1329.618,798.908,2128.526,43.71,
1/1/2022,20,1/1/2022 17:30,2211.588,1/1/2022 16:52,1517.572,761.094,2278.666,58.05,
1/1/2022,21,1/1/2022 18:00,2252.536,1/1/2022 17:22,1625.336,729.157,2354.493,58.93,
1/1/2022,22,1/1/2022 18:30,2299.193,1/1/2022 17:52,1700.834,698.039,2398.873,65.85,
1/1/2022,23,1/1/2022 19:00,2316.331,1/1/2022 18:22,1683.841,703.829,2387.67,71.18,
1/1/2022,24,1/1/2022 19:30,2329.66,1/1/2022 18:52,1698.391,707.727,2406.118,66.74,
1/1/2022,25,1/1/2022 20:00,2303.638,1/1/2022 19:22,1646.943,715.427,2362.37,72.88,
1/1/2022,26,1/1/2022 20:30,2252.276,1/1/2022 19:52,1574.871,707.325,2282.196,72.9,
1/1/2022,27,1/1/2022 21:00,2192.535,1/1/2022 20:22,1546.101,705.525,2251.626,73.3,
1/1/2022,28,1/1/2022 21:30,2134.117,1/1/2022 20:52,1452.822,742.857,2195.679,50.45,
1/1/2022,29,1/1/2022 22:00,2075.108,1/1/2022 21:22,1322.067,788.556,2110.623,48.89,
1/1/2022,30,1/1/2022 22:30,2014.582,1/1/2022 21:52,1256.607,802.254,2058.861,41.34,
1/1/2022,31,1/1/2022 23:00,1957.259,1/1/2022 22:22,1231.641,762.941,1994.582,48.33,
1/1/2022,32,1/1/2022 23:30,1906.813,1/1/2022 22:52,1230.1,737.981,1968.081,47.73,
1/1/2022,33,1/2/2022 0:00,1869.625,1/1/2022 23:22,1175.426,729.775,1905.201,44.35,
1/1/2022,34,1/2/2022 0:30,1846.461,1/1/2022 23:52,1170.898,722.295,1893.193,44.17,
1/1/2022,35,1/2/2022 1:00,1837.212,1/2/2022 0:22,1162.27,706.933,1869.203,44.79,
1/1/2022,36,1/2/2022 1:30,1818.744,1/2/2022 0:52,1133.781,708.138,1841.919,43.27,
1/1/2022,37,1/2/2022 2:00,1807.681,1/2/2022 1:22,1077.883,751.533,1829.416,37.66,
1/1/2022,38,1/2/2022 2:30,1804.917,1/2/2022 1:52,1099.521,730.503,1830.024,42.17,
1/1/2022,39,1/2/2022 3:00,1790.193,1/2/2022 2:22,1081.972,743.22,1825.192,37.67,
1/1/2022,40,1/2/2022 3:30,1785.596,1/2/2022 2:45,1027.64,786.967,1814.607,34.69,
1/1/2022,41,1/2/2022 4:00,1790.193,1/2/2022 3:22,1054.949,770.558,1825.507,36.86,
1/1/2022,42,1/2/2022 4:30,1777.329,1/2/2022 3:52,1060.516,741.789,1802.305,37.67,
1/1/2022,43,1/2/2022 5:00,1748.912,1/2/2022 4:22,1054.512,727.04,1781.552,39.03,
1/1/2022,44,1/2/2022 5:30,1723.324,1/2/2022 4:52,998.768,743.093,1741.861,33.37,
1/1/2022,45,1/2/2022 6:00,1689.628,1/2/2022 5:22,902.694,778.406,1681.1,-10.24,
1/1/2022,46,1/2/2022 6:30,1655.157,1/2/2022 5:52,864.998,734.937,1599.935,-10.24,
1/1/2022,47,1/2/2022 7:00,1549.894,1/2/2022 6:22,872.352,638.339,1510.691,-10.78,
1/1/2022,48,1/2/2022 7:30,1401.392,1/2/2022 6:52,819.702,584.148,1403.85,-10.78,
1/2/2022,1,1/2/2022 8:00,1333.652,1/2/2022 7:22,825.917,482.246,1308.163,31.55,
1/2/2022,2,1/2/2022 8:30,1227.727,1/2/2022 7:52,742.704,485.633,1228.337,33.37,
1/2/2022,3,1/2/2022 9:00,1154.234,1/2/2022 8:22,734.751,430.576,1165.327,29.96,
1/2/2022,4,1/2/2022 9:30,1124.642,1/2/2022 8:52,765.553,375.639,1141.192,31.55,
1/2/2022,5,1/2/2022 10:00,1124.642,1/2/2022 9:22,784.385,341.191,1125.576,33.37,
1/2/2022,6,1/2/2022 10:30,1159.961,1/2/2022 9:52,864.026,301.575,1165.601,47.8,
1/2/2022,7,1/2/2022 11:00,1189.55,1/2/2022 10:22,942.974,263.203,1206.177,46.74,
1/2/2022,8,1/2/2022 11:30,1261.13,1/2/2022 10:52,1004.141,248.746,1252.887,39.03,
1/2/2022,9,1/2/2022 12:00,1333.652,1/2/2022 11:22,1063.657,237.901,1301.558,47.01,
1/2/2022,10,1/2/2022 12:30,1428.104,1/2/2022 11:52,1117.432,240.618,1358.05,47.13,
1/2/2022,11,1/2/2022 13:00,1489.154,1/2/2022 12:22,1170.001,251.517,1421.518,47.34,
1/2/2022,12,1/2/2022 13:30,1542.566,1/2/2022 12:52,1249.298,269.535,1518.833,47.09,
1/2/2022,13,1/2/2022 14:00,1619.811,1/2/2022 13:22,1198.222,401.588,1599.81,47.31,
1/2/2022,14,1/2/2022 14:30,1725.644,1/2/2022 13:52,1299.024,414.571,1713.595,47.78,
1/2/2022,15,1/2/2022 15:00,1870.529,1/2/2022 14:22,1318.806,532.01,1850.816,48.16,
1/2/2022,16,1/2/2022 15:30,2032.516,1/2/2022 14:52,1304.611,702.851,2007.462,48.47,
