rowId,gasDay,zoneCode,zoneName,largeUser,distribution,other,total
1,2022-01-01,DM,Dampier,176.6,0,2.8,179.4
2,2022-01-01,GO,Goldfields,45.2,0.4,55.5,101.1
3,2022-01-01,KG,Kalgoorlie,18.8,0.3,3.3,22.4
4,2022-01-01,KA,Karratha,40.9,0,0.7,41.6
5,2022-01-01,MT,Metro,248.1,24.8,6.9,279.8
6,2022-01-01,MW,Mid-West,0,0,1.2,1.2
7,2022-01-01,PR,Parmelia,2.9,8.4,3.8,15.1
8,2022-01-01,PI,Pilbara,66.2,0,0,66.2
9,2022-01-01,SW,South-West,232.3,12.8,5.1,250.2
10,2022-01-01,TL,Telfer,20.3,0,0.5,20.8
11,2022-01-02,DM,Dampier,131.8,0,3.2,135
12,2022-01-02,GO,Goldfields,45.2,0.4,60.7,106.3
13,2022-01-02,KG,Kalgoorlie,18.8,0.3,3.3,22.4
14,2022-01-02,KA,Karratha,41.9,0,0.4,42.3
15,2022-01-02,MT,Metro,260,26.8,7,293.8
16,2022-01-02,MW,Mid-West,0,0,1.3,1.3
17,2022-01-02,PR,Parmelia,2,7.5,3.7,13.2
18,2022-01-02,PI,Pilbara,69,0,0,69
19,2022-01-02,SW,South-West,251.3,12.7,10.2,274.2
20,2022-01-02,TL,Telfer,23.2,0,0.5,23.7
21,2022-01-03,DM,Dampier,152.9,0,2.6,155.5
22,2022-01-03,GO,Goldfields,43.1,0.5,57.3,100.9
23,2022-01-03,KG,Kalgoorlie,17.9,0.3,3.3,21.5
24,2022-01-03,KA,Karratha,41.9,0,0.4,42.3
25,2022-01-03,MT,Metro,228.9,25.2,8.6,262.7
26,2022-01-03,MW,Mid-West,0,0,1.3,1.3
27,2022-01-03,PR,Parmelia,1.8,11.1,4.2,17.1
28,2022-01-03,PI,Pilbara,64.3,0,0,64.3
29,2022-01-03,SW,South-West,246,13,11.6,270.6
30,2022-01-03,TL,Telfer,23.2,0,0.5,23.7
31,2022-01-04,DM,Dampier,172.4,0,3.3,175.7
32,2022-01-04,GO,Goldfields,40.4,0.5,58,98.9
33,2022-01-04,KG,Kalgoorlie,18.7,0.3,3.3,22.3
34,2022-01-04,KA,Karratha,42,0,0,42
35,2022-01-04,MT,Metro,270,27.6,6.9,304.5
36,2022-01-04,MW,Mid-West,0,0,1.6,1.6
37,2022-01-04,PR,Parmelia,2.3,14.6,4.4,21.3
38,2022-01-04,PI,Pilbara,63.2,0,0,63.2
39,2022-01-04,SW,South-West,255.7,13.2,5.1,274
40,2022-01-04,TL,Telfer,23.2,0,0.5,23.7
41,2022-01-05,DM,Dampier,172.2,0,3.5,175.7
42,2022-01-05,GO,Goldfields,47.3,0.4,58.1,105.8
43,2022-01-05,KG,Kalgoorlie,22.5,0.3,3.3,26.1
44,2022-01-05,KA,Karratha,38.6,0,0.9,39.5
45,2022-01-05,MT,Metro,257.9,25.4,6.9,290.2
46,2022-01-05,MW,Mid-West,0,0,1.9,1.9
47,2022-01-05,PR,Parmelia,2.3,13.7,5.4,21.4
48,2022-01-05,PI,Pilbara,59.1,0,0,59.1
49,2022-01-05,SW,South-West,246.5,12.2,3,261.7
50,2022-01-05,TL,Telfer,22.8,0,0.5,23.3
51,2022-01-06,DM,Dampier,166.8,0,3.3,170.1
52,2022-01-06,GO,Goldfields,48.4,0.4,59.3,108.1
53,2022-01-06,KG,Kalgoorlie,23.4,0.3,3.3,27
54,2022-01-06,KA,Karratha,43.9,0,0.1,44
55,2022-01-06,MT,Metro,264.8,25.9,6.5,297.2
56,2022-01-06,MW,Mid-West,0,0,2.1,2.1
57,2022-01-06,PR,Parmelia,2.8,15.4,5.7,23.9
58,2022-01-06,PI,Pilbara,57.4,0,0,57.4
59,2022-01-06,SW,South-West,256.1,12,2.5,270.6
60,2022-01-06,TL,Telfer,22.8,0,0.5,23.3
61,2022-01-07,DM,Dampier,162.6,0,2.6,165.2
62,2022-01-07,GO,Goldfields,48.8,0.4,59,108.2
63,2022-01-07,KG,Kalgoorlie,21.2,0.3,3.3,24.8
64,2022-01-07,KA,Karratha,43.2,0,0.4,43.6
65,2022-01-07,MT,Metro,268.7,25.9,9.1,303.7
66,2022-01-07,MW,Mid-West,0,0,2.4,2.4
67,2022-01-07,PR,Parmelia,3.7,14.1,4.7,22.5
68,2022-01-07,PI,Pilbara,57.2,0,0,57.2
69,2022-01-07,SW,South-West,264.2,12.3,0.2,276.7
70,2022-01-07,TL,Telfer,17.2,0,0.5,17.7
71,2022-01-08,DM,Dampier,166.7,0,3.5,170.2
72,2022-01-08,GO,Goldfields,48.2,0.4,58.4,107
73,2022-01-08,KG,Kalgoorlie,17.2,0.3,3,20.5
74,2022-01-08,KA,Karratha,39,0,0.8,39.8
75,2022-01-08,MT,Metro,235.7,25.8,9.6,271.1
76,2022-01-08,MW,Mid-West,0,0,2.8,2.8
77,2022-01-08,PR,Parmelia,3.6,15.7,4.6,23.9
78,2022-01-08,PI,Pilbara,58.1,0,0,58.1
